"","atax","atay","trx","try","ataturk","turkiye"
"1",-0.003,0.6167,-0.0032,0.5409,0.30685,0.26885
"2",-0.0037,0.5966,-0.0039,0.5319,0.29645,0.264
"3",-0.0026,0.6374,-0.0032,0.5218,0.3174,0.2593
"4",-0.0016,0.578,-0.0018,0.5498,0.2882,0.274
"5",2e-04,0.5604,-2e-04,0.5177,0.2803,0.25875
"6",1e-04,0.6558,0.0011,0.5879,0.32795,0.2945
"7",0.0026,0.5471,0.0011,0.5798,0.27485,0.29045
"8",0.0023,0.674,0.0011,0.5718,0.33815,0.28645
"9",0.0056,0.533,0.0011,0.5638,0.2693,0.28245
"10",0.0058,0.6883,4e-04,0.5558,0.34705,0.2781
"11",0.0081,0.5206,0.0021,0.2949,0.26435,0.1485
"12",0.0087,0.7041,0.0019,0.2869,0.3564,0.1444
"13",0.0121,0.5059,0.0021,0.7534,0.259,0.37775
"14",0.0119,0.6093,0.0021,0.7423,0.3106,0.3722
"15",0.0121,0.5894,0.0021,0.7363,0.30075,0.3692
"16",0.013,0.6314,0.0025,0.5979,0.3222,0.3002
"17",0.0137,0.7172,0.0027,0.5186,0.36545,0.26065
"18",0.0153,0.5727,0.0038,0.761,0.294,0.3824
"19",0.0169,0.492,0.0048,0.3029,0.25445,0.15385
"20",0.0149,0.651,0.0048,0.2808,0.33295,0.1428
"21",0.0179,0.5525,0.0051,0.7312,0.2852,0.36815
"22",0.018,0.6717,0.0054,0.6058,0.34485,0.3056
"23",0.0181,0.7314,0.0057,0.5195,0.37475,0.2626
"24",0.0218,0.4785,0.0064,0.7703,0.25015,0.38835
"25",0.0234,0.5359,0.0071,0.6285,0.27965,0.3178
"26",0.0234,0.5196,0.0078,0.3589,0.2715,0.18335
"27",0.0234,0.6881,0.0069,0.351,0.35575,0.17895
"28",0.0268,0.4657,0.0069,0.3429,0.24625,0.1749
"29",0.0235,0.7466,0.0076,0.3329,0.38505,0.17025
"30",0.0289,0.5079,0.0069,0.3289,0.2684,0.1679
"31",0.0217,0.6091,0.0077,0.3068,0.3154,0.15725
"32",0.0221,0.5917,0.0078,0.2767,0.3069,0.14225
"33",0.0225,0.6314,0.008,0.7271,0.32695,0.36755
"34",0.0288,0.7117,0.0083,0.6107,0.37025,0.3095
"35",0.0246,0.5705,0.0086,0.5214,0.29755,0.265
"36",0.0331,0.4506,0.0091,0.3208,0.24185,0.16495
"37",0.029,0.7611,0.0094,0.7782,0.39505,0.3938
"38",0.0245,0.6513,0.0099,0.6678,0.3379,0.33885
"39",0.0343,0.4928,0.0097,0.6368,0.26355,0.32325
"40",0.0254,0.5565,0.0098,0.6267,0.29095,0.31825
