turk;turk2
654.45;370.88
650.27;375.2
647.12;378.44
643.98;381.68
640.84;384.92
637.7;388.16
675.4;349.28
671.21;353.6
668.06;356.84
664.92;360.08
661.78;363.32
658.64;366.56
634.02;391.95
630.36;395.73
627.22;398.98
624.08;402.22
620.93;405.46
617.53;408.97
686.91;337.4
682.72;341.72
679.58;344.96
614.12;412.49
610.45;416.27
607.31;419.51
604.96;421.94
695.7;328.33
691.44;332.72
654.86;370.47
650.6;374.86
647.46;378.1
644.31;381.34
641.17;384.58
638.03;387.83
601.44;425.57
596.83;430.32
703.66;320.12
700.52;323.37
675.38;349.3
672.24;352.54
669.09;355.78
665.95;359.02
662.81;362.26
659.67;365.5
634.53;391.43
631.39;394.68
628.25;397.92
625.11;401.16
621.96;404.4
618.82;407.64
593.69;433.57
590.02;437.35
710.2;313.38
706.44;317.25
688.2;336.07
684.45;339.94
681.31;343.18
678.17;346.42
615.93;410.62
612.18;414.49
609.04;417.73
605.9;420.97
587.66;439.79
583.47;444.11
716.21;307.17
712.03;311.5
697.36;326.62
693.17;330.94
690.03;334.18
656.51;368.76
652.33;373.08
649.18;376.32
646.04;379.56
642.9;382.8
639.76;386.05
636.62;389.29
602.57;424.4
598.91;428.18
595.77;431.43
580.58;447.09
576.66;451.14
721.71;301.51
702.85;320.96
674.58;350.13
670.82;354
667.68;357.24
664.54;360.48
661.4;363.72
633.12;392.9
629.98;396.14
626.83;399.38
623.69;402.62
620.55;405.86
592.27;435.03
573.42;454.48
570.45;457.54
726.41;296.65
707.56;316.1
685.57;338.79
681.99;342.48
678.85;345.72
616.44;410.1
612.86;413.79
609.72;417.03
606.58;420.27
588.16;439.27
584.58;442.96
566.17;461.96
731.12;291.8
718.55;304.76
714.8;308.64
711.66;311.88
699.7;324.21
695.95;328.08
692.81;331.33
689.66;334.57
658.85;366.35
655.1;370.22
651.96;373.46
648.82;376.7
645.68;379.95
642.53;383.19
639.39;386.43
636.25;389.67
602.3;424.69
598.54;428.57
595.4;431.81
580.3;447.38
576.55;451.25
561.45;466.83
736.09;286.68
723.52;299.64
704.67;319.09
676.39;348.26
672.2;352.58
669.06;355.82
665.92;359.06
662.78;362.31
632.4;393.64
628.21;397.96
625.07;401.2
621.93;404.44
618.79;407.68
591.55;435.78
572.7;455.23
568.51;459.55
556.99;471.43
740.8;281.82
728.23;294.79
709.38;314.23
686.86;337.46
682.67;341.78
680.05;344.48
614.59;412.01
610.4;416.33
607.26;419.58
604.12;422.82
586.31;441.19
582.12;445.51
564.32;463.88
552.4;476.17
744.46;278.05
731.89;291.01
718.9;304.41
714.78;308.66
711.99;311.54
700.05;323.86
695.93;328.11
692.79;331.35
690;334.23
659.2;365.99
655.08;370.24
651.94;373.48
648.8;376.73
645.66;379.97
642.52;383.21
639.37;386.45
636.23;389.69
599.5;427.58
595.38;431.83
577.51;450.27
548.6;480.09
748.38;274
735.81;286.97
723.24;299.93
704.39;319.38
676.11;348.55
672.53;352.24
669.39;355.48
666.25;358.73
663.11;361.97
632.12;393.93
628.55;397.62
625.4;400.86
622.26;404.1
619.12;407.35
591.28;436.07
572.42;455.52
568.85;459.21
559.85;468.48
556.28;472.17
544.14;484.69
751.78;270.5
739.21;283.46
726.64;296.43
707.79;315.88
685.38;339
681.26;343.25
678.46;346.13
615.88;410.69
612.13;414.56
608.99;417.8
605.85;421.04
602.7;424.28
587.6;439.86
583.85;443.73
580.71;446.97
565.61;462.55
562.21;466.06
553.04;475.51
540.21;488.75
755.96;266.18
743.39;279.15
730.83;292.11
718.26;305.08
715.12;308.32
711.97;311.56
699.41;324.53
696.26;327.77
693.12;331.01
689.98;334.25
658.56;366.66
655.42;369.9
652.27;373.15
649.13;376.39
645.99;379.63
642.85;382.87
639.71;386.11
636.56;389.35
598.86;428.25
595.72;431.49
576.86;450.94
548.59;480.11
536.19;492.9
758.84;263.22
746.27;276.18
733.7;289.15
721.13;302.12
702.28;321.56
674;350.74
670.42;354.43
667.28;357.67
664.14;360.91
661;364.15
633.15;392.87
629.58;396.56
626.43;399.8
623.29;403.05
620.15;406.29
592.31;435.01
573.45;454.46
569.88;458.15
557.74;470.67
545.17;483.63
533.39;495.78
762.23;259.71
752.39;269.87
748.62;273.76
739.82;282.84
736.05;286.72
727.25;295.8
723.48;299.69
708.4;315.25
704.63;319.14
686.41;337.94
682.29;342.19
679.14;345.43
676.35;348.31
616.91;409.63
613.16;413.5
610.02;416.74
606.88;419.98
603.73;423.22
600.59;426.46
588.63;438.8
584.88;442.67
581.74;445.91
578.6;449.15
566.64;461.49
562.89;465.36
560.09;468.24
554.07;474.45
550.32;478.32
541.5;487.42
537.75;491.29
529.3;500.01
766.42;255.4
716.15;307.26
713;310.5
697.29;326.71
694.15;329.95
691.01;333.19
656.45;368.85
653.3;372.09
650.16;375.33
647.02;378.57
643.88;381.81
640.74;385.05
637.59;388.29
596.75;430.43
525.52;503.9
769.82;251.9
757.25;264.86
744.68;277.83
732.11;290.79
719.54;303.76
700.69;323.21
672.41;352.38
668.66;356.25
665.52;359.49
662.38;362.73
659.23;365.97
634.71;391.27
630.95;395.14
627.81;398.38
624.67;401.63
621.53;404.87
593.86;433.41
575.01;452.86
571.26;456.73
546.73;482.03
534.16;495
521.85;507.69
773.48;248.12
763.68;258.22
759.6;262.44
753.84;268.38
750;272.34
747.03;275.4
741.27;281.35
737.43;285.31
734.46;288.37
728.7;294.31
724.86;298.27
721.89;301.33
710.27;313.33
706.01;317.72
703.04;320.78
688.27;336.02
684.01;340.41
680.87;343.65
677.73;346.89
674.76;349.95
618.73;407.76
614.89;411.72
611.75;414.96
608.61;418.2
605.46;421.44
602.32;424.68
599.18;427.92
590.45;436.93
586.61;440.89
583.47;444.13
580.33;447.37
577.36;450.43
568.45;459.62
564.62;463.58
561.47;466.82
558.33;470.06
555.19;473.3
552.05;476.54
549.08;479.61
