q1;q2
-0.0032;0.5409
-0.0039;0.5319
-0.0032;0.5218
-0.0018;0.5498
-0.0002;0.5177
0.0011;0.5879
0.0011;0.5798
0.0011;0.5718
0.0011;0.5638
0.0004;0.5558
0.0021;0.2949
0.0019;0.2869
0.0021;0.7534
0.0021;0.7423
0.0021;0.7363
0.0025;0.5979
0.0027;0.5186
0.0038;0.7610
0.0048;0.3029
0.0048;0.2808
0.0051;0.7312
0.0054;0.6058
0.0057;0.5195
0.0064;0.7703
0.0071;0.6285
0.0078;0.3589
0.0069;0.3510
0.0069;0.3429
0.0076;0.3329
0.0069;0.3289
0.0077;0.3068
0.0078;0.2767
0.0080;0.7271
0.0083;0.6107
0.0086;0.5214
0.0091;0.3208
0.0094;0.7782
0.0099;0.6678
0.0097;0.6368
0.0098;0.6267
0.0105;0.3619
0.0099;0.3107
0.0100;0.2706
0.0108;0.2636
0.0110;0.7250
0.0113;0.6805
0.0112;0.6568
0.0112;0.6457
0.0113;0.6146
0.0115;0.5233
0.0125;0.7888
0.0116;0.7822
0.0127;0.6326
0.0134;0.3598
0.0137;0.2584
0.0139;0.7239
0.0140;0.6858
0.0144;0.6403
0.0142;0.6176
0.0145;0.5232
0.0152;0.8001
0.0145;0.7941
0.0164;0.3557
0.0167;0.2584
0.0166;0.8322
0.0166;0.8241
0.0166;0.8161
0.0166;0.8091
0.0169;0.7238
0.0170;0.6907
0.0171;0.6496
0.0171;0.6215
0.0174;0.5232
0.0180;0.3185
0.0180;0.3105
0.0184;0.2670
0.0183;0.8408
0.0186;0.3506
0.0194;0.3425
0.0194;0.3265
0.0195;0.3044
0.0198;0.7247
0.0199;0.6926
0.0200;0.6535
0.0201;0.6284
0.0203;0.5231
0.0201;0.3345
0.0210;0.2763
0.0207;0.9454
0.0209;0.8481
0.0215;0.6374
0.0224;0.3023
0.0221;0.9524
0.0222;0.9393
0.0227;0.7256
0.0228;0.6945
0.0229;0.6594
0.0233;0.5230
0.0240;0.2772
0.0241;0.8560
0.0231;0.8480
0.0244;0.6453
0.0253;0.3102
0.0246;0.3042
0.0250;0.9563
0.0251;0.9342
0.0257;0.7265
0.0258;0.6974
0.0258;0.6653
0.0262;0.5229
0.0266;0.4747
0.0256;0.4687
0.0262;0.2741
0.0269;0.2661
0.0266;0.9271
0.0268;0.8629
0.0273;0.6502
0.0279;0.4606
0.0281;0.3583
0.0283;0.3081
0.0284;0.2560
0.0280;0.9562
0.0281;0.9181
0.0286;0.7274
0.0287;0.7014
0.0288;0.6733
0.0292;0.5238
0.0293;0.4837
0.0298;0.3669
0.0296;0.3512
0.0296;0.9110
0.0297;0.8638
0.0303;0.6552
0.0308;0.4565
0.0312;0.3050
0.0314;0.2489
0.0309;0.9621
0.0315;0.7273
0.0316;0.7053
0.0317;0.6812
0.0321;0.5277
0.0322;0.4886
0.0325;0.3712
0.0326;0.3441
0.0319;0.3401
0.0326;0.9728
0.0325;0.9059
0.0318;0.9019
0.0329;0.8684
0.0319;0.8618
0.0332;0.6611
0.0338;0.4484
0.0331;0.4444
0.0341;0.4263
0.0331;0.4183
0.0339;0.4103
0.0341;0.3340
0.0342;0.3019
0.0343;0.2448
0.0333;0.8958
0.0333;0.8878
0.0333;0.8798
0.0345;0.7273
0.0345;0.7072
0.0346;0.6871
0.0350;0.5306
0.0351;0.4965
0.0345;0.4384
0.0354;0.4052
0.0355;0.3721
0.0356;0.3240
0.0353;0.9800
0.0361;0.6710
0.0354;0.6650
0.0371;0.2998
0.0373;0.2427
0.0374;0.7272
0.0375;0.7071
0.0375;0.6931
0.0376;0.6790
0.0380;0.5285
0.0380;0.5034
0.0383;0.4011
0.0384;0.3720
0.0385;0.3199
0.0389;0.1694
0.0390;0.1603
0.0382;0.9809
0.0397;0.5111
0.0401;0.3017
0.0402;0.2406
0.0404;0.7241
0.0407;0.7117
0.0405;0.6960
0.0405;0.6789
0.0409;0.5214
0.0413;0.4000
0.0413;0.3729
0.0415;0.3178
0.0419;0.1743
0.0419;0.1582
0.0412;0.9788
0.0430;0.3037
0.0432;0.2374
0.0426;0.7190
0.0426;0.7130
0.0434;0.6989
0.0434;0.6788
0.0442;0.3959
0.0443;0.3799
0.0444;0.3177
0.0448;0.1752
0.0441;0.1532
0.0449;0.1451
0.0449;0.1371
0.0449;0.1291
0.0450;0.1210
0.0450;0.1140
0.0441;0.9767
0.0459;0.3046
0.0461;0.2343
0.0466;0.0498
0.0459;0.0407
0.0467;0.0347
0.0463;0.7018
0.0464;0.6767
0.0464;0.3898
0.0464;0.3838
0.0474;0.3156
0.0478;0.1751
0.0479;0.1079
0.0481;0.0587
0.0470;0.9786
0.0481;0.3055
0.0491;0.2302
0.0491;0.2062
0.0492;0.1951
0.0484;0.1911
0.0496;0.0366
0.0492;0.7057
0.0493;0.6776
0.0506;0.2131
0.0499;0.1851
0.0500;0.1770
0.0509;0.1078
0.0510;0.0657
0.0500;0.9846
0.0520;0.2231
0.0525;0.0415
0.0522;0.7076
0.0523;0.6816
0.0528;0.2151
0.0538;0.1137
0.0539;0.0676
0.0529;0.9875
0.0555;0.0425
0.0556;-0.0137
0.0556;-0.0228
0.0551;0.7126
0.0552;0.6865
0.0567;0.1106
0.0560;0.1066
0.0569;0.0645
0.0558;0.9894
0.0583;0.0985
0.0584;0.0404
0.0585;-0.0058
0.0586;-0.0259
0.0580;0.7165
0.0581;0.6864
0.0600;0.0898
0.0598;0.0614
0.0587;0.9973
0.0614;0.0393
0.0615;0.0021
0.0615;-0.0239
0.0610;0.7204
0.0611;0.6853
0.0627;0.0874
0.0628;0.0583
0.0617;0.9993
0.0643;0.0382
0.0644;0.0051
0.0645;-0.0210
0.0639;0.7263
0.0640;0.6872
0.0656;0.0883
0.0659;0.0649
0.0650;0.0582
0.0646;0.9951
0.0672;0.0381
0.0673;0.0060
0.0674;-0.0141
0.0667;-0.0221
0.0668;0.7323
0.0670;0.6801
0.0678;0.0842
0.0679;0.0762
0.0679;0.0701
0.0676;0.9920
0.0684;0.6720
0.0702;0.0390
0.0703;0.0039
0.0703;-0.0122
0.0697;0.7382
0.0705;0.9960
0.0714;0.6679
